name,sector,synthetic,model,country,estimate,stderr,conf_estimate,conf_stderr,Lstar,Ustar,Lconf,Uconf,Uover,Lover,norm_estimate,std_estimate,model_name,sector_country,Jkt
AR(1) Coefficient,Manufacturing,TRUE,OLS,Canada,0.4405,7e-4,0.2481,5e-4,0.439128,0.441872,0.24711999999999998,0.24908,0.24908,0.439128,0.19240000000000002,384.8,"OLS, Manufacturing","Canada, Manufacturing",-83.11137026239064
Ln Pay,Private,TRUE,OLS,Canada,0.5481,2e-4,0.7847,1e-4,0.5477080000000001,0.548492,0.784504,0.7848959999999999,0.548492,0.784504,-0.23659999999999992,2365.999999999999,"OLS, Private","Canada, Private",-451.55357142863136
Ln Pay,Manufacturing,TRUE,OLS,Canada,0.5228,6e-4,0.73,5e-4,0.5216240000000001,0.523976,0.72902,0.73098,0.523976,0.72902,-0.20719999999999994,414.39999999999986,"OLS, Manufacturing","Canada, Manufacturing",-95.89642857143127
Age 3-4,Private,TRUE,OLS,Canada,-0.1223,4e-4,-0.1202,3e-4,-0.123084,-0.12151600000000001,-0.120788,-0.119612,-0.12151600000000001,-0.120788,-0.0021000000000000046,7.000000000000016,"OLS, Private","Canada, Private",-0.5416666666666707
Age 3-4,Manufacturing,TRUE,OLS,Canada,-0.234,0.0016,-0.1717,0.0014,-0.237136,-0.230864,-0.174444,-0.168956,-0.230864,-0.174444,-0.06230000000000002,44.500000000000014,"OLS, Manufacturing","Canada, Manufacturing",-9.638073979591848
Age 5-7,Private,TRUE,OLS,Canada,-0.1235,4e-4,-0.126,3e-4,-0.124284,-0.12271599999999999,-0.126588,-0.125412,-0.125412,-0.124284,0.0025000000000000022,8.333333333333341,"OLS, Private","Canada, Private",-0.8392857142856995
Age 5-7,Manufacturing,TRUE,OLS,Canada,-0.2507,0.0016,-0.1891,0.0014,-0.25383599999999995,-0.24756399999999998,-0.191844,-0.186356,-0.24756399999999998,-0.191844,-0.06159999999999999,43.99999999999999,"OLS, Manufacturing","Canada, Manufacturing",-9.518494897959208
Age 8-12,Private,TRUE,OLS,Canada,-0.1169,4e-4,-0.1268,3e-4,-0.11768400000000001,-0.116116,-0.127388,-0.126212,-0.126212,-0.11768400000000001,0.009899999999999992,32.99999999999998,"OLS, Private","Canada, Private",-6.345238095238024
Age 8-12,Manufacturing,TRUE,OLS,Canada,-0.2551,0.0016,-0.1973,0.0013,-0.258236,-0.25196399999999997,-0.199848,-0.194752,-0.25196399999999997,-0.199848,-0.05779999999999999,44.46153846153845,"OLS, Manufacturing","Canada, Manufacturing",-9.268077904238586
Age 13 or more,Private,TRUE,OLS,Canada,-0.1101,4e-4,-0.1246,3e-4,-0.11088400000000001,-0.109316,-0.125188,-0.124012,-0.124012,-0.11088400000000001,0.014499999999999999,48.333333333333336,"OLS, Private","Canada, Private",-9.767857142857112
Age 13 or more,Manufacturing,TRUE,OLS,Canada,-0.2577,0.0017,-0.1992,0.0014,-0.261032,-0.254368,-0.20194399999999998,-0.196456,-0.254368,-0.20194399999999998,-0.058499999999999996,41.785714285714285,"OLS, Manufacturing","Canada, Manufacturing",-8.709612416395133
N,Private,TRUE,OLS,Canada,13573225,NA,15708195,NA,NA,NA,NA,NA,NA,NA,-2134970,NA,"OLS, Private","Canada, Private",NA
N,Manufacturing,TRUE,OLS,Canada,959764,NA,1015293,NA,NA,NA,NA,NA,NA,NA,-55529,NA,"OLS, Manufacturing","Canada, Manufacturing",NA
R-sq,Private,TRUE,OLS,Canada,0.9444,NA,0.9696,NA,NA,NA,NA,NA,NA,NA,-0.0252,NA,"OLS, Private","Canada, Private",NA
R-sq,Manufacturing,TRUE,OLS,Canada,0.9523,NA,0.9743,NA,NA,NA,NA,NA,NA,NA,-0.02200000000000002,NA,"OLS, Manufacturing","Canada, Manufacturing",NA
AR(1) Coefficient,Universe,TRUE,GMM,Germany,0.6999,0.0057,0.0489,0.0051,0.688728,0.7110719999999999,0.038904,0.058896,0.058896,0.688728,0.651,127.6470588235294,"GMM, Universe","Germany, Universe",-29.846085802742206
